 LAUS Code,State FIPS Code,County FIPS Code,fips,County,total
CN0600100000000,6,1,06001,Alameda County,5491
CN0600300000000,6,3,06003,Alpine County,78
CN0600500000000,6,5,06005,Amador County,846
CN0600700000000,6,7,06007,Butte County,3444
CN0600900000000,6,9,06009,Calaveras County,1604
CN0601100000000,6,11,06011,Colusa County,419
CN0601300000000,6,13,06013,Contra Costa County,3534
CN0601500000000,6,15,06015,Del Norte County,806
CN0601700000000,6,17,06017,El Dorado County,4465
CN0601900000000,6,19,06019,Fresno County,9994
CN0602100000000,6,21,06021,Glenn County,1001
CN0602300000000,6,23,06023,Humboldt County,2294
CN0602500000000,6,25,06025,Imperial County,1945
CN0602700000000,6,27,06027,Inyo County,441
CN0602900000000,6,29,06027,Kern County,24090
CN0603100000000,6,31,06031,Kings County,1197
CN0603300000000,6,33,06033,Lake County,1392
CN0603500000000,6,35,06035,Lassen County,569
CN0603700000000,6,37,06037,Los Angeles County,43636
CN0603900000000,6,39,06039,Madera County,3189
CN0604100000000,6,41,06041,Marin County,1567
CN0604300000000,6,43,06043,Mariposa County,518
CN0604500000000,6,45,06045,Mendocino County,1205
CN0604700000000,6,47,06047,Merced County,4089
CN0604900000000,6,49,06049,Modoc County,137
CN0605100000000,6,51,06051,Mono County,135
CN0605300000000,6,53,06053,Monterey County,3177
CN0605500000000,6,55,06055,Napa County,588
CN0605700000000,6,57,06057,Nevada County,1147
CN0605900000000,6,59,06059,Orange County,2814
CN0606100000000,6,61,06061,Placer County,3018
CN0606300000000,6,63,06063,Plumas County,887
CN0606500000000,6,65,06065,Riverside County,16733
CN0606700000000,6,67,06067,Sacramento County,20595
CN0606900000000,6,69,06069,San Benito County,406
CN0607100000000,6,71,06071,San Bernardino County,11791
CN0607300000000,6,73,06073,San Diego County,12160
CN0607500000000,6,75,06075,San Francisco County/city,0
CN0607700000000,6,77,06077,San Joaquin County,6991
CN0607900000000,6,79,06079,San Luis Obispo County,2400
CN0608100000000,6,81,06081,San Mateo County,6311
CN0608300000000,6,83,06083,Santa Barbara County,2877
CN0608500000000,6,85,06085,Santa Clara County,3484
CN0608700000000,6,87,06087,Santa Cruz County,4218
CN0608900000000,6,89,06089,Shasta County,2938
CN0609100000000,6,91,06091,Sierra County,54
CN0609300000000,6,93,06093,Siskiyou County,490
CN0609500000000,6,95,06095,Solano County,1100
CN0609700000000,6,97,06097,Sonoma County,3205
CN0609900000000,6,99,06099,Stanislaus County,4358
CN0610100000000,6,101,06101,Sutter County,1311
CN0610300000000,6,103,06103,Tehama County,0
CN0610500000000,6,105,06105,Trinity County,548
CN0610700000000,6,107,06107,Tulare County,4696
CN0610900000000,6,109,06109,Tuolumne County,1451
CN0611100000000,6,111,06111,Ventura County,1683
CN0611300000000,6,113,06113,Yolo County,738
CN0611500000000,6,115,06115,Yuba County,2295
