 LAUS Code,State FIPS Code,County FIPS Code,County Name/State Abbreviation
CN0600100000000,6,1,"Alameda County, CA"
CN0600300000000,6,3,"Alpine County, CA"
CN0600500000000,6,5,"Amador County, CA"
CN0600700000000,6,7,"Butte County, CA"
CN0600900000000,6,9,"Calaveras County, CA"
CN0601100000000,6,11,"Colusa County, CA"
CN0601300000000,6,13,"Contra Costa County, CA"
CN0601500000000,6,15,"Del Norte County, CA"
CN0601700000000,6,17,"El Dorado County, CA"
CN0601900000000,6,19,"Fresno County, CA"
CN0602100000000,6,21,"Glenn County, CA"
CN0602300000000,6,23,"Humboldt County, CA"
CN0602500000000,6,25,"Imperial County, CA"
CN0602700000000,6,27,"Inyo County, CA"
CN0602900000000,6,29,"Kern County, CA"
CN0603100000000,6,31,"Kings County, CA"
CN0603300000000,6,33,"Lake County, CA"
CN0603500000000,6,35,"Lassen County, CA"
CN0603700000000,6,37,"Los Angeles County, CA"
CN0603900000000,6,39,"Madera County, CA"
CN0604100000000,6,41,"Marin County, CA"
CN0604300000000,6,43,"Mariposa County, CA"
CN0604500000000,6,45,"Mendocino County, CA"
CN0604700000000,6,47,"Merced County, CA"
CN0604900000000,6,49,"Modoc County, CA"
CN0605100000000,6,51,"Mono County, CA"
CN0605300000000,6,53,"Monterey County, CA"
CN0605500000000,6,55,"Napa County, CA"
CN0605700000000,6,57,"Nevada County, CA"
CN0605900000000,6,59,"Orange County, CA"
CN0606100000000,6,61,"Placer County, CA"
CN0606300000000,6,63,"Plumas County, CA"
CN0606500000000,6,65,"Riverside County, CA"
CN0606700000000,6,67,"Sacramento County, CA"
CN0606900000000,6,69,"San Benito County, CA"
CN0607100000000,6,71,"San Bernardino County, CA"
CN0607300000000,6,73,"San Diego County, CA"
CN0607500000000,6,75,"San Francisco County/city, CA"
CN0607700000000,6,77,"San Joaquin County, CA"
CN0607900000000,6,79,"San Luis Obispo County, CA"
CN0608100000000,6,81,"San Mateo County, CA"
CN0608300000000,6,83,"Santa Barbara County, CA"
CN0608500000000,6,85,"Santa Clara County, CA"
